magnitude, cname, brightness, sname, rh, rm, rs, dd, dm , ds
2.87, Taurus, eta, Alcyone, 3, 47, 29, 24, 6, 18
3.84, Taurus, the1, Theta Tauri 1, 4, 28, 34, 15, 57, 43
3.4, Taurus, the2, Chamukuy, 4, 28, 39, 15, 52, 14
3.47, Taurus, lam, Lambda Tauri, 4, 0, 40, 12, 29, 25
3.6, Taurus, omi, Omicron Tauri, 3, 24, 48, 9, 1, 44
3.74, Taurus, xi, Xi Tauri, 3, 27, 10, 9, 43, 58
1.98, Gemini, alp, Castor, 7, 34, 36, 31, 53, 17
1.14, Gemini, bet, Pollux, 7, 45, 18, 28, 1, 33
1.93, Gemini, gam, Alhena, 6, 37, 42, 16, 23, 57
3.53, Gemini, del, Wasat, 7, 20, 7, 21, 58, 55
2.98, Gemini, eps, Mebsuta, 6, 43, 55, 25, 7, 51
3.79, Gemini, zet, Mekbuda, 7, 4, 6, 20, 34, 13
3.28, Gemini, eta, Propus, 6, 14, 52, 22, 30, 24
3.6, Gemini, the, Theta Geminorum, 6, 52, 47, 33, 57, 39
3.79, Gemini, iot, Iota Geminorum, 7, 25, 43, 27, 47, 53
3.57, Gemini, kap, Kappa Geminorum, 7, 44, 26, 24, 23, 53
3.58, Gemini, lam, Lambda Geminorum, 7, 18, 5, 16, 32, 25
2.88, Gemini, mu, Tejat, 6, 22, 57, 22, 30, 48
4.15, Gemini, nu, Nu Geminorum, 6, 28, 57, 20, 12, 43
4.41, Gemini, tau, Tau Geminorum, 7, 11, 8, 30, 14, 43
4.06, Gemini, ups, Upsilon Geminorum, 7, 35, 55, 26, 53, 44
3.36, Gemini, xi, Alzirr, 6, 45, 17, 12, 53, 44
4.25, Cancer, alp, Acubens, 8, 58, 29, 11, 51, 28
3.52, Cancer, bet, Tarf, 8, 16, 30, 9, 11, 8
4.66, Cancer, gam, Asellus Borealis, 8, 43, 17, 21, 28, 6
3.94, Cancer, del, Asellus Australis, 8, 44, 41, 18, 9, 15
4.02, Cancer, iot, Iota Cancri, 8, 46, 41, 28, 45, 36
1.35, Leo, alp, Regulus, 10, 8, 22, 11, 58, 1
2.14, Leo, bet, Denebola, 11, 49, 3, 14, 34, 18
2.61, Leo, gam, Algieba, 10, 19, 58, 19, 50, 30
2.56, Leo, del, Zosma, 11, 14, 6, 20, 31, 24
2.98, Leo, eps, Epsilon Leonis, 9, 45, 51, 23, 46, 27
3.44, Leo, zet, Adhafera, 10, 16, 41, 23, 25, 1
3.52, Leo, eta, Eta Leonis, 10, 7, 19, 16, 45, 46
3.34, Leo, the, Chertan, 11, 14, 14, 15, 25, 45
3.88, Leo, mu, Rasalas, 9, 52, 45, 26, 0, 24
-0.04, Boötes, alp, Arcturus, 14, 15, 39, 19, 10, 57
3.5, Boötes, bet, Nekkar, 15, 1, 56, 40, 23, 26
3.03, Boötes, gam, Seginus, 14, 32, 4, 38, 18, 29
3.47, Boötes, del, Delta Boötis, 15, 15, 30, 33, 18, 52
2.7, Boötes, eps, Izar, 14, 44, 59, 27, 4, 27
4.43, Boötes, zet, Zeta Boötis, 14, 41, 8, 13, 43, 41
2.68, Boötes, eta, Muphrid, 13, 53, 41, 18, 23, 52
3.58, Boötes, rho, Rho Boötis, 14, 31, 49, 30, 22, 17
4.07, Boötes, ups, Upsilon Boötis, 13, 49, 28, 15, 47, 52
2.23, Corona Borealis, alp, Alphecca, 15, 34, 41, 26, 42, 52
3.68, Corona Borealis, bet, Nusakan, 15, 27, 49, 29, 6, 20
3.84, Corona Borealis, gam, Gamma Coronae Borealis, 15, 42, 44, 26, 17, 44
4.63, Corona Borealis, del, Delta Coronae Borealis, 15, 49, 35, 26, 4, 5
4.15, Corona Borealis, eps, Epsilon Coronae Borealis, 15, 57, 35, 26, 52, 40
4.99, Corona Borealis, iot, Iota Coronae Borealis, 16, 1, 26, 29, 51, 3
4.14, Corona Borealis, the, Theta Coronae Borealis, 15, 32, 55, 31, 21, 33
3.48, Hercules, alp, Rasalgethi, 17, 14, 38, 14, 23, 25
